example_no	layer_mix	input_or_pattern	spoken_de	why_not_one_word_de
1	ROOT_ONLY	OK+AIN	ansetzen an einer Portion	OK and AIN contribute; owner supplies what the portion is
2	ROOT_PLUS_OWNER	AIR under BASIN_STATION	Lauf der Beckenflüssigkeit	AIR remains Lauf/Bahn; basin supplies liquid
3	ROOT_PLUS_OWNER	AIR under CELESTIAL_TABLE	sichtbare Himmelsbahn	same AIR value; celestial table supplies sky object
4	NOMENCLATOR	CFH+Y	auswringen am aktuellen Posten	CFH is learned before Y is added
5	NOMENCLATOR	OK+Y+LDDY	den aktuellen Posten ansetzen, festmachen und schließen	LDDY remains a learned body
6	MEMORY	Y + <ACTIVE>	dieser zuvor gesetzte Arbeitsposten	the noun comes from ACTIVE, not from Y
7	MEMORY	OL + <PREVIOUS>	mit dem unmittelbar vorigen Posten fortfahren	PREVIOUS is a carried slot, not a hidden OL gloss
8	MACRO	SET>CONTINUE>SETTLE	ansetzen, fortführen, absetzen	three clauses; never one word
9	OWNER	AL under CLOTH_FILTER	am Empfangsgefäß des Tuchs	AL says target; owner supplies the receiving vessel
10	ASTRO	F69_LEFT_WHEEL_NS	einen lokalen linken Radplatz ablesen	no direction or link to f68
11	MASTER	CKHE | AIN	trennen an einer Portion	M02 can stand for CKHE only inside the simulation
12	PARAPHRASE	OK+E+CLOSE for OK+CLOSE	kurz ansetzen und schließen	extra brief grade remains spoken
