unified_index	register	page	unit_or_locus	visible_owner	source_id	desired_value_de	writing_layer	recipe_or_key	writer_action	resulting_visible_surface	result_status
1	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E001	Wurzel	LEARNED_WHOLE_SIGN	WHOLE_SIGN[dchey]	Copy the complete memorized prose nomenclator card	dchey	GENERATED_OR_COPIED_EXACTLY
2	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E002	den Ansatz bereitstellen	PURE_COMPOSITION	OR+CTH	Build OR+CTH; WRITE_REGISTERED_CANONICAL_CARD	cthoor	GENERATED_OR_COPIED_EXACTLY
3	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E003	davon	PURE_COMPOSITION	AR[SUBTYPE=SOURCE_ORIGIN]	Build AR[SUBTYPE=SOURCE_ORIGIN]; WRITE_REGISTERED_CANONICAL_CARD	char	GENERATED_OR_COPIED_EXACTLY
4	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E004	Teil	PURE_COMPOSITION	TY	Build TY; WRITE_REGISTERED_CANONICAL_CARD	chty	GENERATED_OR_COPIED_EXACTLY
5	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E005	Aufnahmegefäß	PURE_COMPOSITION	OS_RECEIVER	Build OS_RECEIVER; WRITE_REGISTERED_CANONICAL_CARD	os	GENERATED_OR_COPIED_EXACTLY
6	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E006	laufendes Medium zugießen	PURE_COMPOSITION	AIR+CH_POUR	Build AIR+CH_POUR; WRITE_REGISTERED_CANONICAL_CARD	chair	GENERATED_OR_COPIED_EXACTLY
7	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E007	Folgeteil	PURE_COMPOSITION	OT+YTY_PART	Build OT+YTY_PART; WRITE_REGISTERED_CANONICAL_CARD	otytchol	GENERATED_OR_COPIED_EXACTLY
8	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E008	einsetzen	PURE_COMPOSITION	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Build OK+Y[SUBTYPE=SET_CURRENT_ITEM]; WRITE_REGISTERED_CANONICAL_CARD	oky	GENERATED_OR_COPIED_EXACTLY
9	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E009	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	daiin	GENERATED_OR_COPIED_EXACTLY
10	PROSE	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E010	kleiner Rest	LEARNED_WHOLE_SIGN	WHOLE_SIGN[etyd]	Copy the complete memorized prose nomenclator card	etyd	GENERATED_OR_COPIED_EXACTLY
11	PROSE	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E011	den laufenden Posten einsetzen und weiterbearbeiten	PURE_COMPOSITION	OK+Y[SUBTYPE=SET_AND_CONTINUE_ITEM]	Build OK+Y[SUBTYPE=SET_AND_CONTINUE_ITEM]; WRITE_REGISTERED_CANONICAL_CARD	qokchy	GENERATED_OR_COPIED_EXACTLY
