candidate_id	formal_feature	visual_outcome	counterexample_type	group_id	token	residual_host	page	object_tags	relation_tags	description
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f102r1.2|G001	otodeeodor	otodeeodor	f102r1	LABEL;PLANT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on row of plants 1 (top). || Above root of plant <f102r1>[1,1], below leaves.
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f102r2.21|G001	koldarod	koldarod	f102r2	LABEL;PLANT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on row of plants 3 (bottom). || There are 2 plants and 2 labels. Pairing is quite clear. plant <f102r2>[3,1] - caterpillar-shaped root with tail and ribbed bulb on top. Above plant <f102r2>[3,1].
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	FEATURE_WITHOUT_OUTCOME	f67r2.39|G003	dy	y	f67r2	STAR_OR_SKY		Text lines in sectors with moons. || Sector at 05:30, line 2. Grove's T10.2.
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	FEATURE_WITHOUT_OUTCOME	f67r2.64|G001	s	s	f67r2	LABEL;PLANT;STAR_OR_SKY		"Circle of 8 labels around central star/flower. || Transcribed clockwise from 08:30 after the ""dotted tail"" emanating from the central ""star"". At 09:00."
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.11|G001	okoaly	okoaly	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 11:00 - second from border. Seven points, no core.
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.13|G001	octhey	octhey	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 01:00 - Southeast of sun. Seven points, no core.
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.15|G001	otydy	oty	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 10:15 - mid-radius. Six points, blank core.
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.17|G001	cphocthy	cphocthy	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 01:30 - halfway to border. Nine points, blank core.
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.18|G001	ytchody	ytcho	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on 29 stars. || Label on star at 02:00 - near border. Eight points, blank core.
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.20|G001	olor	olor	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 09:30 - middle of three. Seven points, dark core.
