edition	chol	grammar	paragraph	target	form	patient	patient_form	prior_actions	REP	REST	debts	row_status
IT2a	D	B	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	cthor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f17v.19:6;IMPLICIT_SUBJECT_CONTINUATION	recorded
IT2a	H	B	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	cthor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f17v.19:6;IMPLICIT_SUBJECT_CONTINUATION	recorded
IT2a	D	J	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3	cheor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	J	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3	cheor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	M	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3	cheor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	M	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3	cheor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	B	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	B	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
IT2a	D	B	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	B	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	B	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
IT2a	H	B	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	J	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	J	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
IT2a	D	J	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	J	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	J	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
IT2a	H	J	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	M	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	M	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
IT2a	D	M	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	M	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	M	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
IT2a	H	M	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	B	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	B	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	J	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	J	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	D	M	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
IT2a	H	M	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	B	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	cthor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
RF1b	H	B	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	cthor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
RF1b	D	J	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3	cheor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	J	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3	cheor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	M	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3	cheor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	M	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3	cheor		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	B	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	B	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
RF1b	D	B	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	B	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	B	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
RF1b	H	B	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	J	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	J	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
